64138	49995
12477	49993
33025	49991
44119	49988
34997	49982
28625	49981
70665	49981
76134	49979
44618	49978
65714	49978
77338	49976
14622	49972
84339	49972
85020	49967
64061	49964
97361	49961
30008	49960
48634	49958
29205	49946
46958	49946
47923	49946
45895	49945
51038	49940
37062	49935
15005	49932
17214	49931
20017	49930
48023	49929
04258	49926
49446	49926
54220	49923
03241	49922
19703	49922
37031	49922
77808	49922
48435	49919
48039	49917
03561	49915
13490	49911
62226	49907
37020	49904
61423	49904
78954	49904
31312	49899
34239	49896
47615	49896
44709	49895
14561	49891
55395	49891
77905	49884
14012	49881
44053	49879
32533	49877
02149	49876
60922	49875
56303	49868
86017	49868
58504	49867
04002	49864
18955	49861
27583	49857
50036	49853
44817	49850
75442	49849
98118	49849
28465	49848
98611	49846
52046	49844
96016	49844
97403	49844
55987	49842
28174	49840
56209	49840
75407	49840
90715	49840
27370	49836
32408	49836
94063	49835
50450	49833
64024	49833
70815	49833
83455	49833
56096	49831
47977	49830
78758	49829
14011	49828
52346	49828
24486	49826
46182	49826
21790	49821
47246	49821
60920	49821
78615	49821
34104	49820
50438	49818
23227	49817
40165	49810
48897	49808
52249	49808
58275	49808
29501	49805
17406	49804
99701	49804
62271	49803
99926	49803
50216	49798
30224	49795
56057	49792
68846	49792
46580	49791
17068	49788
57022	49788
95632	49788
17065	49786
11210	49774
04854	49773
64739	49773
12814	49769
18332	49769
53930	49766
43545	49763
43341	49762
44010	49762
99320	49758
04015	49750
46794	49750
61338	49750
83283	49750
61021	49747
52806	49746
30720	49744
44669	49741
70706	49741
46701	49740
50208	49739
48747	49732
67876	49732
45345	49730
28097	49728
32825	49725
95726	49725
95465	49722
44125	49719
48146	49714
99827	49706
50112	49699
44691	49698
46738	49695
76073	49693
89118	49693
38680	49691
54601	49690
05647	49688
07720	49688
43553	49688
49648	49688
55749	49688
56080	49688
58558	49688
63056	49688
90010	49688
975XX	49688
97236	49682
17225	49681
29045	49671
55102	49670
43025	49667
62338	49667
07504	49665
18018	49665
33953	49659
01570	49658
27804	49658
28741	49656
77978	49653
83704	49648
39560	49647
13776	49643
19967	49643
47944	49643
61769	49643
63028	49642
08204	49640
49615	49638
70737	49636
11434	49635
61080	49633
62246	49630
93664	49625
44491	49620
29075	49617
33772	49615
58012	49615
74017	49614
98233	49614
80644	49611
46049	49609
61878	49609
68832	49609
29078	49608
78240	49607
27403	49601
32174	49601
32714	49601
84663	49597
81650	49596
